Year,Month,Falciparum,Vivax,Under5 ,Population,Pdensity,MeanMAX,HighestMAX,MeanMIN,LowestMIN,Rainfall,RainyDays,MeanSunshine
2011-2012,January,149,1321,15,12436774,22880.2229744646,29.5111634410185,33.7133490323055,15.853160644639,10.7220913974538,0,0,9.1
2011-2012,February,39,1129,18,12436774,22880.2229744646,31.7800941938332,38.4356759143425,17.2109279564354,10.3597174185003,0,0,9.3
2011-2012,March,39,1338,25,12436774,22880.2229744646,31.824512473324,38.3446537640739,19.6953933328427,14.2308337626021,0,0,8.7
2012-2013,April,41,1274,12,12436774,22880.2229744646,33.4555817205092,37.1912576348517,24.6043711825741,22.2910221502686,0,0,9.2
2012-2013,May,1334,,14,12436774,22880.2229744646,33.1733019353889,34.1310692471852,26.5599529030834,24.5776731179631,0,0,9.9
2012-2013,June,62,1316,20,12436774,22880.2229744646,33.2133490323055,35.1021855912871,26.7866509676945,23.5021855912871,444.5,9,6
2012-2013,July,,,27,12436774,22880.2229744646,30.7,32.3577673117963,26.0288836558982,24.3733019353889,1002.6,21,1.2
2012-2013,August,,,,12436774,22880.2229744646,30.4555817205092,32.1733019353889,25.5577673117963,23.7021855912871,870.1,21,3.2
2012-2013,September,276,1237,37,12436774,22880.2229744646,30.8577673117963,33.1555817205092,24.9866509676945,23.3733019353889,935.4,20,5.6
2012-2013,October,229,1174,28,12436774,22880.2229744646,33.6844653764074,35.7555817205092,24.2199058061668,20.9242769887409,315,6,7.6
2012-2013,November,166,843,16,12436774,22880.2229744646,33.1844653764074,34.8444182794908,20.3686952682317,15.928648171315,0,0,9.3
2012-2013,December,121,694,12,12436774,22880.2229744646,32.4844653764074,36.0111634410185,19.453160644639,15.1152991390095,0,0,9
2012-2013,January,59,634,,12427914,22863.9230259769,30.2822797851203,34.3400470969166,16.1131135477224,12.0174847302966,0,0,9.5
2012-2013,February,32,615,18,12427914,22863.9230259769,30.9822797851203,35.2422326882037,18.7820443005372,14.701950106704,0,0,9.4
2012-2013,March,18,671,7,12427914,22863.9230259769,33.3667451615277,39.9512105379351,20.5419972036206,17.0730664508058,0,0,9.7
2013-2014,April,22,668,10,12427914,22863.9230259769,32.8689307528148,36.4046066671573,22.950975053352,20.2975789241298,0,0,10.2
2013-2014,May,17,741,10,12427914,22863.9230259769,33.9021855912871,35.2910221502686,26.4199058061668,24.2932077415557,0,0,9.9
2013-2014,June,15,843,7,12427914,22863.9230259769,30.9422326882037,34.7599529030834,24.7466038707778,22.9466038707778,1967.5,25,2.1
2013-2014,July,71,1191,27,12427914,22863.9230259769,28.8555817205092,31.7422326882037,24.2043711825741,22.5776731179631,1783.5,25,0.8
2013-2014,August,105,1197,42,12427914,22863.9230259769,30.0155346235926,31.8466038707778,24.3466038707778,22.575487526676,491.1,24,3.1
2013-2014,September,129,930,22,12427914,22863.9230259769,30.9133490323055,32.9021855912871,25.1288836558982,22.2266980646111,498.5,14,4.8
2013-2014,October,144,914,17,12427914,22863.9230259769,32.6422326882037,36.4133490323055,24.8021855912871,21.5220913974538,151.9,7,6.8
2013-2014,November,97,764,10,12427914,22863.9230259769,33.6978144087129,36.0266980646111,22.3354404297594,18.726462580028,6.4,1,8.4
2013-2014,December,98,588,8,12427914,22863.9230259769,31.6822797851203,34.4111634410185,19.5932077415557,16.0131135477224,0.5,0,8.1
2013-2014,January,53,533,6,12415635,22841.3330635073,30.4512105379351,34.7266980646111,18.7199058061668,14.0087423651483,0.9,0,8.2
2013-2014,February,18,493,6,12415635,22841.3330635073,30.3223268820369,34.9133490323055,19.5043711825741,15.4220913974538,7.8,1,9.6
2013-2014,March,12,513,7,12415635,22841.3330635073,32.1623739789536,36.6135845168887,22.1043711825741,17.0109279564354,0,0,9.5
2014-2015,April,8,517,4,12415635,22841.3330635073,32.7512105379351,38.1334903230554,24.3733019353889,21.8466038707778,0,0,9.3
2014-2015,May,12,529,5,12415635,22841.3330635073,33.8400470969166,35.4822797851203,27.0577673117963,25.2577673117963,0,0,9.4
2014-2015,June,15,609,9,12415635,22841.3330635073,33.5978144087129,37.046839355361,28.3,26.1422326882037,142.3,6,6.5
2014-2015,July,26,801,7,12415635,22841.3330635073,29.6844653764074,33.7155346235926,25.3288836558982,23.2577673117963,2843.6,29,1.9
2014-2015,August,39,1056,12,12415635,22841.3330635073,30.1266980646111,31.8555817205092,25.2444182794908,23.8577673117963,882.6,23,2.5
2014-2015,September,106,1251,24,12415635,22841.3330635073,30.8400470969166,36.5956288174259,25.2866509676945,23.7577673117963,577.6,13,5.1
2014-2015,October,72,932,20,12415635,22841.3330635073,34.1689307528148,37.1422326882037,24.7910221502686,21,69.6,2,7.2
2014-2015,November,65,799,19,12415635,22841.3330635073,34.7400470969166,36.7400470969166,22.9087423651483,19.4708808595187,7.8,1,7.9
2014-2015,December,52,557,11,12415635,22841.3330635073,32.1266980646111,35.1555817205092,19.0109279564354,13.1553462359261,31.5,1,8.2
2014-2015,January,39,374,,12400054,22812.6683346825,29.7956288174259,33.524512473324,17.3398116123335,14.8997645154169,0,0,8.5
2014-2015,February,21,315,,12400054,22812.6683346825,31.649024946648,38.3378615056296,18.7820443005372,15.5864154831113,0,0,9.6
2014-2015,March,14,406,8,12400054,22812.6683346825,32.9223268820369,39.7024210758702,21.3953933328427,15.3864154831113,25.2,2,9.2
2015-2016,April,10,508,2,12400054,22812.6683346825,33.2,35.2711163441018,24.6065567738612,20.8708808595187,1.4,0,9.5
2015-2016,May,9,490,8,12400054,22812.6683346825,34.5733019353889,35.9155346235926,27.475487526676,25.0087423651483,2.4,0,9.6
2015-2016,June,12,597,,12400054,22812.6683346825,31.9400470969166,36.4533961292222,26.2577673117963,23.1733019353889,1973,17,4.1
2015-2016,July,32,788,15,12400054,22812.6683346825,31.4111634410185,33,26.5577673117963,23.8310692471852,554.9,15,4
2015-2016,August,42,833,15,12400054,22812.6683346825,30.7822797851203,32.3555817205092,25.3599529030834,23.575487526676,342.2,21,4
2015-2016,September,58,980,17,12400054,22812.6683346825,31.5533961292222,35.246839355361,24.6043711825741,21.9065567738612,473.5,13,6
2015-2016,October,78,807,12,12400054,22812.6683346825,34.8089778497314,37.9067922584443,25.0932077415557,20.8842298918243,110.7,5,6.9
2015-2016,November,52,599,8,12400054,22812.6683346825,34.3689307528148,36.4422326882037,22.8820443005372,19.5842298918243,1.7,0,7.7
2015-2016,December,48,405,7,12400054,22812.6683346825,32.5378615056296,36.2111634410185,18.1441827949076,13.0752520420929,0,0,8.8
2015-2016,January,26,286,2,12381268,22778.1072926632,31.224512473324,36.549024946648,17.4553462359261,14.1597174185003,0,0,9.5
2015-2016,February,21,247,,12381268,22778.1072926632,30.2800941938333,32.7378615056296,19.250975053352,15.5131135477224,0,0,9.2
2015-2016,March,5,272,2,12381268,22778.1072926632,33.1378615056296,36.2645595702406,22.8065567738612,20.0665096769446,0,0,8.8
2016-2017,April,19,598,4,12381268,22778.1072926632,33.2667451615277,37.249024946648,24.5910221502686,22.8932077415557,0,0,9.4
2016-2017,May,10,633,11,12381268,22778.1072926632,34.1288836558982,35.9844653764074,27.4310692471852,25.2043711825741,3.7,0,9.5
2016-2017,June,44,643,23,12381268,22778.1072926632,32.8133490323055,35.6577673117963,26.9733019353889,23,1226.5,14,4.5
2016-2017,July,94,905,67,12381268,22778.1072926632,29.5266980646111,31.7400470969166,24.8177202148797,22.7466038707778,1621.6,26,0.5
2016-2017,August,205,1832,36,12381268,22778.1072926632,29.8133490323055,31.6844653764074,25.2310692471852,23.4310692471852,1047.1,23,2.3
2016-2017,September,152,1398,70,12381268,22778.1072926632,29.8133490323055,31.5866509676945,24.3177202148797,22.2310692471852,1417.7,15,3.5
2016-2017,October,56,747,27,12381268,22778.1072926632,31.7822797851203,35.4133490323055,23.2065567738612,19.3553462359261,146.1,6,6.8
2016-2017,November,56,537,18,12381268,22778.1072926632,34.6422326882037,36.1288836558982,20.326462580028,17.8886010743984,0,0,8.7
2016-2017,December,30,348,5,12381268,22778.1072926632,33.8844653764074,36.0844653764074,19.3131135477224,16.5886010743984,0,0,9.1
2016-2017,January,17,367,6,12345874,22712.9921259843,31.5400470969166,35.9133490323055,17.526462580028,13.228648171315,0,0,8.9
2016-2017,February,6,276,6,12345874,22712.9921259843,32.8800941938333,38.6266980646111,19.0820443005372,15.2419972036206,0,0,9.8
2016-2017,March,12,787,2,12345874,22712.9921259843,32.7822797851203,37.9956288174259,21.4242769887409,16.8752520420929,0,0,9.5
2017-2018,April,85,496,21,12345874,22712.9921259843,33.7,35.7689307528148,24.4798587092501,20.2997645154169,0,0,9.6
2017-2018,May,78,688,26,12345874,22712.9921259843,34.2155346235926,35.2,26.8199058061668,24.5776731179631,3.5,1,9.5
2017-2018,June,81,1033,46,12345874,22712.9921259843,32.6689307528148,35.3288836558982,26.4155346235926,22.1444182794908,1010.9,16,4.7
2017-2018,July,232,2159,54,12345874,22712.9921259843,30.7266980646111,32.5155346235926,25.3310692471852,22.9910221502686,1384.3,22,3.1
2017-2018,August,351,2691,207,12345874,22712.9921259843,30.3555817205092,32.1866509676945,25.1288836558982,22.1466038707778,1601.8,22,4.5
2017-2018,September,425,2173,195,12345874,22712.9921259843,31.3555817205092,35.2067922584443,25.5422326882037,23.4266980646111,1122.2,10,4.7
2017-2018,October,213,1648,99,12345874,22712.9921259843,33.3689307528148,36.5133490323055,25.2021855912871,22.0065567738612,161.4,6,6.4
2017-2018,November,313,1590,77,12345874,22712.9921259843,34.0133490323055,35.8577673117963,21.4932077415557,19.0109279564354,0,0,8.8
2017-2018,December,161,712,377,12345874,22712.9921259843,31.1133490323055,34.6711163441019,19.1376260210464,16.2398116123335,180.6,2,7.3
2017-2018,January,39,894,288,12307409,22642.2271690338,31.0978144087129,35.2,18.1798587092501,14.726462580028,0,0,8.2
2017-2018,February,10,446,22,12307409,22642.2271690338,32.5533961292222,37.424512473324,19.6220913974538,16.7242769887409,0,0,7.9
2017-2018,March,59,941,24,12307409,22642.2271690338,33.2667451615277,40.1334903230554,22.4487894620649,19.8665096769446,0,0,7.9
2018-2019,April,16,625,36,12307409,22642.2271690338,33.6978144087129,36.9779086025462,24.1621384943704,21.550975053352,0,0,9.3
2018-2019,May,19,839,63,12307409,22642.2271690338,34.2,35.0711163441019,26.8599529030834,24.2888365589815,0,0,8.9
2018-2019,June,39,1006,58,12307409,22642.2271690338,32.1978144087129,35.8689307528148,25.3599529030834,21.7199058061668,1444.4,15,3.8
2018-2019,July,90,2246,73,12307409,22642.2271690338,29.7266980646111,32.5667451615277,25.2266980646111,22.4310692471852,1844.7,23,0.8
2018-2019,August,163,2885,98,12307409,22642.2271690338,29.8266980646111,31.5555817205092,25.0844653764074,22.4310692471852,423.8,23,1.8
2018-2019,September,131,2279,116,12307409,22642.2271690338,31.3711163441019,32.9266980646111,24.6866509676945,22.7956288174259,132.6,8,6.2
2018-2019,October,193,2350,70,12307409,22642.2271690338,35.5822797851203,37.7689307528148,24.5466038707778,20.4888365589815,19.2,1,8.3
2018-2019,November,154,1039,64,12307409,22642.2271690338,35.0689307528148,37.4266980646111,22.5065567738612,19.950975053352,5.2,1,9
2018-2019,December,102,640,58,12307409,22642.2271690338,32.1844653764074,34.8577673117963,19.0953933328427,15.4354404297594,0,0,8.4
2018-2019,January,37,322,11,12266175,22566.3680182501,30.9689307528148,33.8133490323055,16.5953933328427,14.153160644639,0,0,9
2018-2019,February,18,323,41,12266175,22566.3680182501,31.0667451615277,35.6356759143425,18.0932077415557,12.328648171315,0,0,9.3
2018-2019,March,4,512,18,12266175,22566.3680182501,32.0378615056296,38.8558172050924,20.8776731179631,17.4419972036206,0,0,9.4
2019-2020,April,20,649,20,12266175,22566.3680182501,33.5978144087129,35.7800941938332,24.6043711825741,21.5776731179631,0,0,10.1
2019-2020,May,32,893,24,12266175,22566.3680182501,33.7711163441018,35.6533961292222,26.1733019353889,24.4310692471852,0,0,10.6
2019-2020,June,20,1043,35,12266175,22566.3680182501,33.4689307528148,36.0800941938333,26.8133490323055,22.8555817205092,853.4,14,5.8
2019-2020,July,76,1498,40,12266175,22566.3680182501,30.6822797851203,35.2179556994628,25.2266980646111,23,2549,28,2
2019-2020,August,108,2058,123,12266175,22566.3680182501,30.4711163441018,32.3555817205092,25.3422326882037,24,803.2,23,3.6
2019-2020,September,175,2445,93,12266175,22566.3680182501,30.0111634410185,32.924512473324,24.3689307528148,22.249024946648,1764.9,25,2.4
2019-2020,October,125,1685,53,12266175,22566.3680182501,32.5978144087129,36.5422326882037,24.3577673117963,22.7111634410185,182.8,8,5.8
2019-2020,November,99,898,50,12266175,22566.3680182501,33.5711163441019,34.9866509676945,23.3599529030834,21.0776731179631,128.3,3,7.9
2019-2020,December,89,497,42,12266175,22566.3680182501,32.6133490323055,35.0711163441019,21.7599529030834,17.150975053352,2.5,0,6.7
